GEOID,RS
39117,0.371
39119,0.419
39121,0.356
39123,0.331
39125,0.376
39127,0.443
39129,0.419
39131,0.377
39133,0.286
39135,0.33
39137,0.325
39139,0.383
39141,0.426
39143,0.387
39145,0.401
39147,0.372
39149,0.413
39151,0.41
39153,0.41
39155,0.377
39157,0.35
39159,0.314
39161,0.434
39163,0.331
39165,0.322
39167,0.341
39169,0.346
39171,0.288
39173,0.32
39175,0.272
40001,0.328
40003,
40005,0.391
40007,0.331
40009,0.339
40011,0.395
40013,0.39
40015,0.455
40017,0.297
40019,0.377
40021,0.346
40023,0.318
40025,
40027,0.264
40029,
40031,0.343
40033,0.163
40035,0.259
40037,0.327
40039,0.384
40041,0.381
40043,0.215
40045,
40047,0.36
40049,0.318
40051,0.305
40053,
40055,
40057,
40059,
40061,0.213
40063,0.423
40065,0.3
40067,0.356
40069,0.273
40071,0.343
40073,0.38
40075,0.407
40077,0.323
40079,0.294
40081,0.297
40083,0.305
40085,0.332
40087,0.271
40089,0.304
40091,0.317
40093,0.207
40095,0.404
40097,0.327
40099,0.354
40101,0.37
40103,0.37
40105,0.329
40107,0.34
40109,0.365
40111,0.332
40113,0.3
40115,0.362
40117,0.203
40119,0.29
40121,0.352
40123,0.376
40125,0.353
40127,0.319
40129,
40131,0.272
40133,0.415
40135,0.349
40137,0.293
40139,0.278
40141,0.345
40143,0.367
40145,0.299
40147,0.359
40149,0.316
40151,0.309
40153,0.319
41001,0.3
41003,0.267
41005,0.265
41007,0.226
41009,0.257
41011,0.303
41013,0.25
41015,0.278
41017,0.256
41019,0.288
41021,
41023,0.166
41025,0.193
41027,0.23
41029,0.257
41031,0.44
41033,0.312
41035,0.343
41037,0.34
41039,0.299
41041,0.301
41043,0.321
41045,0.27
41047,0.29
41049,0.413
41051,0.278
41053,0.287
41055,
41057,0.228
41059,0.279
41061,0.223
41063,0.253
41065,0.249
41067,0.255
41069,
41071,0.267
42001,0.275
42003,0.389
42005,0.327
42007,0.361
42009,0.322
42011,0.378
42013,0.357
42015,0.285
42017,0.297
42019,0.295
42021,0.361
42023,0.255
42025,0.31
42027,0.284
42029,0.321
42031,0.32
42033,0.336
42035,0.309
42037,0.341
42039,0.339
42041,0.318
42043,0.405
42045,0.353
42047,0.305
42049,0.376
42051,0.384
42053,
42055,0.326
42057,0.41
42059,0.277
42061,0.302
42063,0.275
42065,0.29
42067,0.314
42069,0.341
42071,0.348
42073,0.387
42075,0.327
42077,0.382
42079,0.334
42081,0.359
42083,0.331
42085,0.415
42087,0.377
42089,0.272
42091,0.305
42093,0.412
42095,0.346
42097,0.307
42099,0.313
42101,0.403
42103,0.275
42105,0.28
42107,0.333
42109,0.354
42111,0.363
42113,
42115,0.221
42117,0.27
42119,0.268
42121,0.333
42123,0.315
42125,0.34
42127,0.24
42129,0.338
42131,0.326
42133,0.363
44001,0.312
44003,0.3
44005,0.34
44007,0.359
44009,0.288
45001,0.459
45003,0.378
45005,0.416
45007,0.378
45009,0.441
45011,0.396
45013,0.335
45015,0.306
45017,0.357
45019,0.35
45021,0.388
45023,0.356
45025,0.428
45027,0.47
45029,0.352
45031,0.432
45033,0.375
45035,0.341
45037,0.376
45039,0.37
45041,0.397
45043,0.406
45045,0.373
45047,0.402
45049,0.342
45051,0.352
45053,0.372
45055,0.347
45057,0.416
45059,0.401
45061,0.398
45063,0.372
45065,0.366
45067,0.403
45069,0.359
45071,0.409
45073,0.357
45075,0.392
45077,0.379
45079,0.399
45081,0.406
45083,0.405
45085,0.39
45087,0.412
45089,0.463
45091,0.401
46003,
46005,0.29
46007,
46009,0.285
46011,0.22
46013,0.246
46015,0.291
46017,
46019,0.236
46021,
46023,0.396
46025,
46027,0.222
46029,0.301
46031,
46033,0.404
46035,0.286
46037,0.233
46039,
46041,0.273
46043,
46045,
46047,0.309
46049,
46051,0.313
46053,0.31
46055,
46057,0.227
46059,
46061,
46063,
46065,0.427
46067,0.124
46069,
46071,
46073,
46075,
46077,0.221
46079,0.329
46081,0.244
46083,0.276
46085,
46087,0.239
46089,
46091,
46093,0.216
46095,
46097,
46099,0.289
46101,0.257
46103,0.354
46105,
46107,
46109,0.425
46111,
46113,0.174
46115,0.185
46117,
46119,
46121,0.281
46123,0.266
46125,0.211
46127,0.202
46129,0.465
46135,0.259
46137,
47001,0.36
47003,0.367
47005,0.388
47007,0.35
47009,0.37
47011,0.32
47013,0.349
47015,0.321
47017,0.37
47019,0.371
47021,0.327
47023,0.335
47025,0.366
47027,
47029,0.389
47031,0.388
47033,0.361
47035,0.341
47037,0.378
47039,0.405
47041,0.347
47043,0.349
47045,0.396
47047,0.432
47049,0.374
47051,0.354
47053,0.391
47055,0.286
47057,0.42
47059,0.312
47061,0.432
47063,0.343
47065,0.376
47067,
47069,0.371
47071,0.407
47073,0.344
47075,0.455
47077,0.355
47079,0.351
47081,0.326
47083,0.341
47085,0.381
47087,0.319
47089,0.348
47091,0.35
47093,0.387
47095,
47097,0.515
47099,0.362
47101,0.308
47103,0.364
47105,0.324
47107,0.357
47109,0.406
47111,0.4
47113,0.419
47115,0.318
47117,0.302
47119,0.323
47121,0.387
47123,0.379
47125,0.324
47127,
47129,0.375
47131,0.429
47133,0.331
47135,0.335
47137,
47139,0.36
47141,0.308
47143,0.335
47145,0.367
47147,0.309
47149,0.314
47151,0.347
47153,0.331
47155,0.346
47157,0.42
47159,0.388
47161,0.29
47163,0.392
47165,0.321
47167,0.41
47169,0.426
47171,0.444
47173,0.32
47175,
47177,0.346
47179,0.38
47181,0.238
47183,0.353
47185,0.413
47187,0.308
47189,0.329
48001,0.374
48003,0.207
48005,0.353
48007,0.248
48009,0.358
48011,
48013,0.315
48015,0.352
48017,0.294
48019,0.226
48021,0.302
48023,
48025,0.311
48027,0.351
48029,0.319
48031,0.195
48033,
48035,0.369
48037,0.396
48039,0.3
48041,0.342
48043,0.281
48045,
48047,0.357
48049,0.341
48051,0.402
48053,0.324
48055,0.334
48057,0.312
48059,0.25
48061,0.227
48063,0.374
48065,0.189
48067,0.352
48069,0.435
48071,0.322
48073,0.377
48075,0.394
48077,0.251
48079,
48081,
48083,0.37
48085,0.291
48087,
48089,0.384
48091,0.302
48093,0.251
48095,
48097,0.366
48099,0.275
48101,
48103,
48105,
48107,0.37
48109,
48111,0.261
48113,0.352
48115,0.444
48117,0.38
48119,
48121,0.271
48123,0.408
48125,
48127,0.246
48129,
48131,0.25
48133,0.301
48135,0.265
48137,
48139,0.331
48141,0.212
48143,0.264
48145,0.349
48147,0.31
48149,0.358
48151,
48153,0.454
48155,
48157,0.317
48159,0.455
48161,0.367
48163,0.26
48165,0.296
48167,0.329
48169,
48171,0.271
48173,
48175,0.421
48177,0.373
48179,0.306
48181,0.343
48183,0.348
48185,0.373
48187,0.341
48189,0.345
48191,
48193,0.488
48195,0.37
48197,
48199,0.29
48201,0.326
48203,0.377
48205,
48207,0.141
48209,0.305
48211,
48213,0.343
48215,0.23
48217,0.379
48219,0.364
48221,0.28
48223,0.291
48225,0.405
48227,0.323
48229,
48231,0.344
48233,0.285
48235,
48237,0.344
48239,0.306
48241,0.342
48243,
48245,0.361
48247,
48249,0.281
48251,0.267
48253,0.306
48255,0.401
48257,0.334
48259,0.247
48261,
48263,
48265,0.323
48267,
48269,
48271,
48273,0.273
48275,
48277,0.407
48279,0.4
48281,0.272
48283,0.27
48285,0.38
48287,0.407
48289,0.308
48291,0.289
48293,0.397
48295,
48297,0.133
48299,0.329
48301,
48303,0.391
48305,0.426
48307,0.274
48309,0.408
48311,
48313,0.388
48315,0.157
48317,
48319,
48321,0.286
48323,0.249
48325,0.349
48327,
48329,0.309
48331,0.396
48333,
48335,0.307
48337,0.291
48339,0.301
48341,0.369
48343,0.351
48345,
48347,0.387
48349,0.452
48351,0.338
48353,0.321
48355,0.313
48357,0.188
48359,
48361,0.326
48363,0.383
48365,0.388
48367,0.253
48369,0.354
48371,0.205
48373,0.336
48375,0.33
48377,0.069
48379,0.234
48381,0.282
48383,
48385,
48387,0.457
48389,0.148
48391,0.29
48393,
48395,0.346
48397,0.294
48399,0.382
48401,0.365
48403,0.293
48405,0.449
48407,0.26
48409,0.295
48411,
48413,
48415,0.281
48417,
48419,0.412
48421,
48423,0.36
48425,0.233
48427,0.252
48429,0.321
48431,
48433,
48435,
48437,0.317
48439,0.337
48441,0.344
48443,
48445,0.391
48447,
48449,0.349
48451,0.332
48453,0.339
48455,0.382
48457,0.279
48459,0.367
48461,
48463,0.368
48465,0.21
48467,0.317
48469,0.361
48471,0.393
48473,0.378
48475,0.221
48477,0.462
48479,0.222
48481,0.4
48483,
48485,0.334
48487,0.404
48489,0.229
48491,0.28
48493,0.387
48495,0.31
48497,0.261
48499,0.303
48501,0.272
48503,0.413
48505,0.369
48507,0.331
49001,0.252
49003,0.239
49005,0.186
49007,0.238
49009,
49011,0.245
49013,0.212
49015,0.308
49017,0.187
49019,0.339
49021,0.272
49023,0.192
49025,0.338
49027,0.211
49029,0.185
49031,
49033,
49035,0.267
49037,0.252
49039,0.239
49041,0.282
49043,0.121
49045,0.221
49047,0.262
49049,0.185
49051,0.163
49053,0.226
49055,
49057,0.299
50001,0.278
50003,0.303
50005,0.267
50007,0.328
50009,0.34
50011,0.315
50013,
50015,0.27
50017,0.275
50019,0.309
50021,0.31
50023,0.228
50025,0.206
50027,0.271
51001,0.407
51003,0.323
51005,
51007,0.301
51009,0.348
51011,0.49
51013,0.214
51015,0.339
51017,
51019,0.366
51021,0.198
51023,0.272
51025,0.43
51027,0.283
51029,0.458
51031,0.377
51033,0.305
51035,0.433
51036,
51037,0.373
51041,0.342
51043,0.28
51045,
51047,0.357
51049,
51051,0.293
51053,0.424
51057,0.298
51059,0.245
51061,0.34
51063,0.332
51065,0.36
51067,0.323
51069,0.334
51071,0.372
51073,0.326
51075,0.355
51077,0.34
51079,0.374
51081,
51083,0.454
51085,0.322
51087,0.348
51089,0.465
51091,
51093,0.424
51095,0.385
51097,
51099,0.379
51101,0.384
51103,0.373
51105,0.433
51107,0.27
51109,0.33
51111,0.538
51113,0.384
51115,0.304
51117,0.441
51119,0.233
51121,0.374
51125,0.344
51127,0.256
51131,0.436
51133,0.396
51135,0.443
51137,0.342
51139,0.313
51141,0.382
51143,0.391
51145,0.261
51147,0.416
51149,0.355
51153,0.338
51155,0.448
51157,0.204
51159,0.502
51161,0.341
51163,0.26
51165,0.287
51167,0.32
51169,0.384
51171,0.309
51173,0.37
51175,0.435
51177,0.329
51179,0.312
51181,0.354
51183,0.442
51185,0.355
51187,0.285
51191,0.338
51193,0.341
51195,0.314
51197,0.325
51199,0.363
51510,0.263
51515,0.358
51520,0.373
51530,0.439
51540,0.394
51550,0.376
51560,
51570,0.326
51580,0.43
51590,0.44
51595,0.55
51600,0.185
51610,0.236
51620,0.4
51630,0.292
51640,0.443
51650,0.375
51660,0.36
51670,0.384
51678,0.373
51680,0.42
51683,0.303
51685,0.315
51690,0.405
51700,0.41
51710,0.385
51720,
51730,0.366
51735,0.253
51740,0.37
51750,0.36
51760,0.347
51770,0.407
51775,0.331
51790,0.35
51800,0.416
51810,0.334
51820,0.37
51830,
51840,0.403
53001,0.329
53003,0.389
53005,0.275
53007,0.242
53009,0.311
53011,0.274
53013,
53015,0.325
53017,0.323
53019,0.309
53021,0.311
53023,
53025,0.308
53027,0.371
53029,0.225
53031,0.215
53033,0.273
53035,0.275
53037,0.278
53039,0.395
53041,0.296
53043,0.301
53045,0.246
53047,0.299
53049,0.345
53051,0.342
53053,0.285
53055,0.255
53057,0.26
53059,0.346
53061,0.248
53063,0.312
53065,0.289
53067,0.271
53069,
53071,0.278
53073,0.276
53075,0.265
53077,0.304
54001,0.363
54003,0.356
54005,0.337
54007,0.339
54009,0.333
54011,0.391
54013,0.311
54015,0.27
54017,
54019,0.358
54021,
54023,0.452
54025,0.358
54027,0.371
54029,0.423
54031,0.371
54033,0.396
54035,0.406
54037,0.356
54039,0.348
54041,0.33
54043,0.398
54045,0.302
54047,0.268
54049,0.345
54051,0.285
54053,0.345
54055,0.354
54057,0.377
54059,0.383
54061,0.338
54063,0.348
54065,0.303
54067,0.374
54069,0.38
54071,0.398
54073,0.25
54075,0.201
54077,0.356
54079,0.277
54081,0.315
54083,0.372
54085,0.474
54087,0.352
54089,0.433
54091,0.438
54093,
54095,0.176
54097,0.303
54099,0.386
54101,0.38
54103,0.367
54105,0.344
54107,0.387
54109,0.248
55001,0.401
55003,0.375
55005,0.312
55007,0.225
55009,0.328
55011,0.211
55013,0.261
55015,0.267
55017,0.289
55019,0.259
55021,0.254
55023,0.303
55025,0.343
55027,0.259
55029,0.197
55031,0.388
55033,0.292
55035,0.307
55037,
55039,0.337
55041,0.335
55043,0.274
55045,0.295
55047,0.253
55049,0.186
55051,
55053,0.254
55055,0.299
55057,0.212
55059,0.388
55061,0.315
55063,0.339
55065,0.268
55067,0.294
55069,0.299
55071,0.308
55073,0.255
55075,0.346
55077,0.381
55078,
55079,0.434
55081,0.31
55083,0.314
55085,0.315
55087,0.297
55089,0.257
55091,0.182
55093,0.205
55095,0.267
55097,0.28
55099,0.295
55101,0.383
55103,0.298
55105,0.338
55107,0.39
55109,0.243
55111,0.346
55113,0.328
55115,0.282
55117,0.318
55119,0.271
55121,0.263
55123,0.284
55125,0.285
55127,0.265
55129,0.256
55131,0.282
55133,0.295
55135,0.227
55137,0.288
55139,0.334
55141,0.293
56001,0.225
56003,0.152
56005,0.225
56007,0.252
56009,0.288
56011,0.166
56013,0.338
56015,0.305
56017,
56019,0.198
56021,0.285
56023,0.19
56025,0.293
56027,
56029,0.219
56031,0.198
56033,0.227
56035,
56037,0.204
56039,0.145
56041,0.316
56043,0.342
56045,0.289
