GEOID,RS
16065,0.198
16067,0.273
16069,0.273
16071,
16073,0.225
16075,0.248
16077,0.227
16079,0.353
16081,0.176
16083,0.241
16085,0.257
16087,0.323
17001,0.367
17003,0.519
17005,0.378
17007,0.274
17009,
17011,0.318
17013,
17015,0.331
17017,0.417
17019,0.387
17021,0.356
17023,0.321
17025,0.365
17027,0.316
17029,0.365
17031,0.398
17033,0.362
17035,0.424
17037,0.3
17039,0.27
17041,0.276
17043,0.266
17045,0.39
17047,0.363
17049,0.309
17051,0.358
17053,0.331
17055,0.358
17057,0.323
17059,0.218
17061,0.34
17063,0.312
17065,0.388
17067,0.273
17069,
17071,0.293
17073,0.338
17075,0.33
17077,0.355
17079,0.277
17081,0.357
17083,0.292
17085,0.245
17087,0.334
17089,0.355
17091,0.398
17093,0.226
17095,0.378
17097,0.344
17099,0.344
17101,0.421
17103,0.345
17105,0.351
17107,0.328
17109,0.277
17111,0.271
17113,0.362
17115,0.431
17117,0.377
17119,0.37
17121,0.386
17123,0.323
17125,0.388
17127,0.354
17129,0.257
17131,0.254
17133,0.265
17135,0.414
17137,0.41
17139,0.347
17141,0.28
17143,0.432
17145,0.382
17147,0.337
17149,0.372
17151,
17153,0.34
17155,0.363
17157,0.37
17159,0.346
17161,0.381
17163,0.445
17165,0.435
17167,0.409
17169,0.287
17171,
17173,0.423
17175,0.279
17177,0.352
17179,0.345
17181,0.392
17183,0.399
17185,0.356
17187,0.368
17189,0.316
17191,0.289
17193,0.358
17195,0.355
17197,0.353
17199,0.372
17201,0.38
17203,0.342
18001,0.383
18003,0.404
18005,0.398
18007,0.269
18009,0.363
18011,0.351
18013,0.174
18015,0.232
18017,0.373
18019,0.358
18021,0.353
18023,0.351
18025,0.334
18027,0.354
18029,0.336
18031,0.4
18033,0.354
18035,0.409
18037,0.335
18039,0.341
18041,0.401
18043,0.39
18045,0.365
18047,0.434
18049,0.413
18051,0.332
18053,0.389
18055,0.357
18057,0.332
18059,0.342
18061,0.286
18063,0.305
18065,0.335
18067,0.328
18069,0.374
18071,0.367
18073,0.251
18075,0.314
18077,0.387
18079,0.389
18081,0.357
18083,0.377
18085,0.305
18087,0.208
18089,0.375
18091,0.349
18093,0.379
18095,0.381
18097,0.396
18099,0.355
18101,0.361
18103,0.307
18105,0.362
18107,0.324
18109,0.292
18111,0.282
18113,0.343
18115,
18117,0.406
18119,0.31
18121,0.333
18123,0.425
18125,0.349
18127,0.287
18129,0.402
18131,0.328
18133,0.31
18135,0.374
18137,0.288
18139,0.386
18141,0.4
18143,0.378
18145,0.324
18147,0.311
18149,0.378
18151,0.349
18153,0.401
18155,0.267
18157,0.338
18159,0.342
18161,0.264
18163,0.435
18165,0.34
18167,0.383
18169,0.371
18171,
